time,InputVoltage,VoltageDropOrig,Resistance,OutputVoltage,VoltageDrop
201,10,1.866,1150,8.134,1866
202,10,1.896,1170,8.104,1896
203,10,1.913,1180,8.087,1913
204,10,1.929,1200,8.071,1929
205,10,1.947,1210,8.053,1947
206,10,1.965,1220,8.035,1965
207,10,1.984,1240,8.016,1984
208,10,2.003,1250,7.997,2003
209,10,2.023,1270,7.977,2023
210,10,2.044,1280,7.956,2044
211,10,2.065,1300,7.935,2065
212,10,2.087,1320,7.913,2087
213,10,2.11,1340,7.89,2110
214,10,2.134,1360,7.866,2134
215,10,2.158,1380,7.842,2158
216,10,2.183,1400,7.817,2183
217,10,2.209,1420,7.791,2209
218,10,2.236,1440,7.764,2236
219,10,2.263,1460,7.737,2263
220,10,2.292,1490,7.708,2292
221,10,2.321,1510,7.679,2321
222,10,2.351,1540,7.649,2351
223,10,2.382,1560,7.618,2382
224,10,2.413,1590,7.587,2413
225,10,2.446,1620,7.554,2446
226,10,2.479,1650,7.521,2479
227,10,2.513,1680,7.487,2513
228,10,2.548,1710,7.452,2548
229,10,2.584,1740,7.416,2584
230,10,2.621,1780,7.379,2621
231,10,2.659,1810,7.341,2659
232,10,2.697,1850,7.303,2697
233,10,2.737,1880,7.263,2737
234,10,2.777,1920,7.223,2777
235,10,2.818,1960,7.182,2818
236,10,2.86,2000,7.14,2860
237,10,2.902,2050,7.098,2902
238,10,2.946,2090,7.054,2946
239,10,2.99,2130,7.01,2990
240,10,3.035,2180,6.965,3035
241,10,3.081,2230,6.919,3081
242,10,3.127,2280,6.873,3127
243,10,3.174,2330,6.826,3174
244,10,3.222,2380,6.778,3222
245,10,3.271,2430,6.729,3271
246,10,3.32,2490,6.68,3320
247,10,3.369,2540,6.631,3369
248,10,3.42,2600,6.58,3420
249,10,3.47,2660,6.53,3470
250,10,3.522,2720,6.478,3522
251,10,3.574,2780,6.426,3574
252,10,3.626,2840,6.374,3626
253,10,3.678,2910,6.322,3678
254,10,3.731,2980,6.269,3731
255,10,3.785,3050,6.215,3785
256,10,3.839,3120,6.161,3839
257,10,3.893,3190,6.107,3893
258,10,3.947,3260,6.053,3947
259,10,4.001,3340,5.999,4001
260,10,4.056,3410,5.944,4056
261,10,4.111,3490,5.889,4111
262,10,4.166,3570,5.834,4166
263,10,4.221,3650,5.779,4221
264,10,4.276,3740,5.724,4276
265,10,4.331,3820,5.669,4331
266,10,4.386,3910,5.614,4386
267,10,4.441,4000,5.559,4441
268,10,4.496,4090,5.504,4496
269,10,4.551,4180,5.449,4551
270,10,4.606,4270,5.394,4606
271,10,4.661,4360,5.339,4661
272,10,4.715,4460,5.285,4715
273,10,4.769,4560,5.231,4769
274,10,4.823,4660,5.177,4823
275,10,4.877,4760,5.123,4877
276,10,4.93,4860,5.07,4930
277,10,4.984,4970,5.016,4984
278,10,5.036,5070,4.964,5036
279,10,5.089,5180,4.911,5089
280,10,5.141,5290,4.859,5141
281,10,5.193,5400,4.807,5193
282,10,5.244,5510,4.756,5244
283,10,5.295,5630,4.705,5295
284,10,5.346,5740,4.654,5346
285,10,5.396,5860,4.604,5396
286,10,5.445,5980,4.555,5445
287,10,5.495,6100,4.505,5495
288,10,5.543,6220,4.457,5543
289,10,5.592,6340,4.408,5592
290,10,5.639,6470,4.361,5639
291,10,5.687,6590,4.313,5687
292,10,5.733,6720,4.267,5733
293,10,5.78,6850,4.22,5780
294,10,5.825,6980,4.175,5825
295,10,5.87,7110,4.13,5870
296,10,5.915,7240,4.085,5915
297,10,5.959,7370,4.041,5959
298,10,6.003,7510,3.997,6003
299,10,6.046,7650,3.954,6046
300,10,6.131,7920,3.869,6131
